ID,選手名,年,チーム,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
61365112,Ｔ－岡田,"
                    2012                ",オリックス,103,404,378,46,106,22,0,10,158,56,4,3,0,0,22,4,81,5,.280,.418,.327
61365112,Ｔ－岡田,"
                    2013                ",オリックス,58,207,189,17,42,10,1,4,66,18,2,1,0,2,15,1,42,6,.222,.349,.280
61365112,Ｔ－岡田,"
                    2014                ",オリックス,130,533,472,67,127,28,0,24,227,75,4,4,5,2,37,17,107,10,.269,.481,.343
61365112,Ｔ－岡田,"
                    2015                ",オリックス,105,416,389,44,109,19,2,11,165,51,2,0,0,4,17,6,80,9,.280,.424,.317
61365112,Ｔ－岡田,"
                    2016                ",オリックス,123,513,454,56,129,25,0,20,214,76,5,1,0,5,47,7,105,12,.284,.471,.357
61365112,Ｔ－岡田,"
                    2017                ",オリックス,143,593,504,77,134,19,0,31,246,68,2,1,0,1,83,5,141,10,.266,.488,.374
61365112,Ｔ－岡田,"
                    2018                ",オリックス,97,333,298,31,67,11,0,13,117,43,2,2,0,2,31,2,82,9,.225,.393,.300
61365112,Ｔ－岡田,"
                    2019                ",オリックス,20,56,50,4,6,0,0,1,9,2,0,0,0,0,6,0,19,3,.120,.180,.214
61365112,Ｔ－岡田,"
                    2020                ",オリックス,100,377,328,36,84,18,0,16,150,55,5,3,0,5,40,4,87,11,.256,.457,.340
71475131,松井　佑介,"
                    2010                ",中　日,35,56,55,2,16,2,0,0,18,3,0,0,0,0,1,0,15,1,.291,.327,.304
71475131,松井　佑介,"
                    2011                ",中　日,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,.125,.125,.125
71475131,松井　佑介,"
                    2012                ",中　日,42,67,65,5,15,4,0,1,22,6,0,1,2,0,0,0,13,0,.231,.338,.231
71475131,松井　佑介,"
                    2013                ",中　日,43,91,81,7,14,3,0,1,20,11,0,0,5,2,2,1,16,3,.173,.247,.198
71475131,松井　佑介,"
                    2014                ",中　日,52,102,96,11,24,7,0,2,37,6,1,0,2,0,2,2,27,3,.250,.385,.280
71475131,松井　佑介,"
                    2015                ",中　日,30,32,31,0,6,0,0,0,6,0,0,0,1,0,0,0,6,0,.194,.194,.194
71475131,松井　佑介,"
                    2016                ",中　日,14,21,21,1,4,2,0,0,6,0,0,0,0,0,0,0,8,0,.190,.286,.190
71475131,松井　佑介,"
                    2017                ",中　日,56,129,119,17,33,7,0,4,52,18,0,0,1,0,6,3,38,2,.277,.437,.328
71475131,松井　佑介,"
                    2018                ",中　日,17,22,22,2,3,0,0,0,3,0,0,0,0,0,0,0,12,0,.136,.136,.136
71475131,松井　佑介,"
                    2019                ",中　日,16,37,32,3,7,2,0,0,9,2,0,0,2,0,3,0,13,0,.219,.281,.286
71475131,松井　佑介,"
                    2019                ",オリックス,7,18,18,2,6,1,0,1,10,1,0,0,0,0,0,0,3,1,.333,.556,.333
71475131,松井　佑介,"
                    2020                ",オリックス,29,53,53,2,11,2,1,0,15,2,0,0,0,0,0,0,12,1,.208,.283,.208
61965132,杉本　裕太郎,"
                    2016                ",オリックス,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000
61965132,杉本　裕太郎,"
                    2017                ",オリックス,9,17,17,2,2,1,0,1,6,2,0,0,0,0,0,0,6,1,.118,.353,.118
61965132,杉本　裕太郎,"
                    2018                ",オリックス,7,14,12,2,3,1,0,2,10,8,0,0,0,0,1,1,3,0,.250,.833,.357
61965132,杉本　裕太郎,"
                    2019                ",オリックス,18,51,51,5,8,1,0,4,21,7,1,0,0,0,0,0,22,2,.157,.412,.157
