年,リーグ,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
2019,パ,858,32792,28780,3698,7241,1202,135,851,11266,3527,540,255,547,198,2910,356,6381,577,1.509,2.348,1.953
2019,セ,858,32803,28949,3607,7310,1308,116,837,11361,3448,429,184,572,171,2834,277,6656,612,1.515,2.353,1.939
2020,パ,720,27080,23560,2963,5797,1006,122,614,8889,2822,513,196,498,162,2594,265,5368,463,1.476,2.262,1.952
2020,セ,720,27093,24003,2962,6095,1069,95,674,9376,2839,362,179,406,140,2326,218,5429,544,1.523,2.343,1.942
